descripcion,año,grupo_etario,sexo,cantidad
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,55-74,M,510.0
Enfermedades del aparato circulatorio,2012,55-74,M,18799.0
Enfermedades de la piel y del tejido subcutáneo ,2021,55-74,F,332.0
Accidentes y causas externas,2006,55-74,F,948.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,55-74,M,4904.0
Enfermedades del aparato circulatorio,2005,55-74,F,9482.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,55-74,F,2719.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,55-74,F,1983.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2020,55-74,F,2162.0
Accidentes y causas externas,2008,55-74,F,946.0
Tumores ,2020,55-74,M,15725.0
Enfermedades del aparato digestivo,2006,55-74,M,3231.0
Enfermedades del aparato digestivo,2008,55-74,M,3598.0
Tumores ,2012,55-74,M,16353.0
Enfermedades del aparato respiratorio,2019,55-74,M,9602.0
Accidentes y causas externas,2012,55-74,M,2856.0
Enfermedades del aparato respiratorio,2022,55-74,M,11444.0
Accidentes y causas externas,2020,55-74,M,2153.0
Enfermedades del aparato circulatorio,2017,55-74,F,10085.0
Enfermedades del aparato circulatorio,2013,55-74,F,9574.0
Enfermedades del sistema genitourinario ,2007,55-74,F,1156.0
Enfermedades del aparato circulatorio,2020,55-74,M,18662.0
Enfermedades del aparato circulatorio,2022,55-74,F,11552.0
Enfermedades del sistema genitourinario ,2011,55-74,F,1108.0
Enfermedades infecciosas y parasitarias ,2007,55-74,M,2479.0
Enfermedades del aparato respiratorio,2017,55-74,M,9334.0
Enfermedades del sistema genitourinario ,2011,55-74,M,1525.0
Enfermedades del aparato respiratorio,2005,55-74,M,6988.0
Enfermedades del aparato circulatorio,2019,55-74,F,10417.0
Enfermedades del aparato respiratorio,2016,55-74,,16.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2012,55-74,F,1835.0
Enfermedades de la piel y del tejido subcutáneo ,2014,55-74,M,220.0
Enfermedades del aparato digestivo,2007,55-74,F,1629.0
Enfermedades del aparato respiratorio,2013,55-74,M,8091.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,55-74,F,2363.0
Enfermedades del aparato respiratorio,2008,55-74,F,4024.0
Enfermedades del aparato digestivo,2011,55-74,F,1652.0
Enfermedades del aparato respiratorio,2006,55-74,F,3754.0
Enfermedades del sistema genitourinario ,2007,55-74,M,1719.0
Enfermedades de la piel y del tejido subcutáneo ,2018,55-74,M,405.0
Enfermedades infecciosas y parasitarias ,2005,55-74,F,1664.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,55-74,F,2325.0
Enfermedades infecciosas y parasitarias ,2013,55-74,F,1809.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2014,55-74,M,36.0
Enfermedades infecciosas y parasitarias ,2019,55-74,F,1907.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2017,55-74,F,193.0
COVID-19,2021,55-74,F,14252.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2018,55-74,M,29.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2022,55-74,F,253.0
Enfermedades de la piel y del tejido subcutáneo ,2010,55-74,M,134.0
Trastornos mentales,2014,55-74,M,381.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2007,55-74,M,522.0
Enfermedades infecciosas y parasitarias ,2017,55-74,F,1820.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2015,55-74,M,28.0
Enfermedades de la piel y del tejido subcutáneo ,2015,55-74,M,276.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2010,55-74,M,20.0
Trastornos mentales,2021,55-74,F,134.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2021,55-74,F,237.0
