id,nombre,departamento_id,financiamiento,terapia_intensiva
50221052126320,centro de salud las piedritas,105,Provincial,no
53066652303266,cem centro de emergencias medicas base ramallo,665,Privado,no
50580562367144,centro medico roca - grupo roca,56,Privado,no
53062522303609,sistema privado de emergencias moviles,252,Privado,no
52020012315753,centro integral de rehabiliatcion del afasico (cira),5,Privado,no
50301052142498,caps   sidney rees,105,Provincial,no
50820492184651,centro de salud dr. jorge caniza,49,Provincial,no
50820492184584,centro de salud campo hardy,49,Provincial,no
50661122173412,puesto sanitario lagunita,112,Provincial,no
51300152342562,litvin graciela beatriz laboratorio de analisis clinicos,15,Privado,no
50861752192249,puesto sanitario colonia pinto (hosp brea pozo),175,Provincial,no
10501192157034,hospital antonio j. scaravelli.-,119,Provincial,si
53064272304684,spemm cada srl -emergencias moviles,427,Privado,no
50380212150125,caps el chingo (1),21,Provincial,no
10661332173064,hospital enf. santos villagra,133,Provincial,no
50064272304688,policlinica privada medargen,427,Privado,no
51064972304724,fundacion cientifica del sur,497,Privado,no
50141402231506,hospital de autogestion - dr. fermin de la colina,140,Municipal,no
51740562380239,centro de diagnosticos y rehabilitacion cardiovascular,56,Privado,no
10740282180011,hospital regional concaran dr. jose velasco,28,Provincial,no
50380282150090,posta casa grande (19),28,Provincial,no
52068612303422,policlinica privada centro de empleados de comercio zona norte,861,Privado,no
50900842196148,caps bienestar,84,Provincial,no
50020012316061,centro medico organizacion medica,2,Privado,no
50141612231461,centro de salud nº 2 medalla milagrosa,161,Municipal,no
50141612231463,centro de salud nº 1 don jose accossato,161,Municipal,no
52068752303200,hospital de dia volver a despertar,875,Privado,no
50064412201314,centro de salud n° 32 de la plata,441,Municipal,no
50860492192395,puesto sanitario (capital rural sur) santa maria,49,Provincial,no
50861052192298,puesto sanitario isla verde (hosp loreto),105,Provincial,no
50861612192683,puesto sanitario (banda rural sur) tramo 26,161,Provincial,no
50067912304381,cio tandil centros integrados de oncologia,791,Privado,no
10580492167018,htal junin de los andes,49,Provincial,no
50065682304444,consultorios externos ambulatorios del instituto medico aguero,568,Privado,no
10500212357017,clinica santa clara.-,21,Privado,si
50260772129145,centro de salud sarmiento,77,Provincial,no
10581122367006,clinica zapala - cruz andina,112,Privado,no
53100492324343,servicio de emergencia emi srl,49,Privado,no
50421122153063,casa de piedra,112,Provincial,no
15064342305106,hogar de ancianos appart geriatrico lanus sa,434,Privado,no
14060582305108,cril,658,Privado,no
50380072150263,puesto tusaquillas (20),7,Provincial,no
53421542353244,sala enfermeria co.se.ga.,154,Privado,no
50260212129130,centro de salud quirno costa,21,Provincial,no
50820632184488,centro de salud altos del valle,63,Provincial,no
50620212170122,centro de salud casa de la salud,21,Provincial,no
50620072170145,centro de salud enrique viglione de santa clara,7,Provincial,no
50660562173203,centro de salud san roque,56,Provincial,no
50820842284562,centro de salud barrio toba,84,Municipal,no
10100842124020,establecimiento sanitario seccional mutquin,84,Provincial,no
50860492192464,upa nº 17 barrio borges,49,Provincial,no
50180212339318,policonsultorio odontologico dra. chaveaux,21,Privado,no
10064762200260,hospital municipal gaspar m. campos,476,Municipal,no
50820842184386,centro de salud la posta,84,Provincial,no
50820702184736,centro de salud jacinto l. arauz,70,Provincial,no
50100492224064,establecimiento sanitario periferico banda de varela,49,Municipal,no
10066232300072,clinica pergamino,623,Privado,no
50460632155164,caps las peñas,21,Provincial,no
50460422155089,caps independencia,42,Provincial,no
50500142157246,c.a.p.s. 122 carmensa.-,14,Provincial,no
50180212239392,saps barrio rio parana,21,Municipal,no
50860492192447,upa nº 10 barrio john kennedy,49,Provincial,no
50661612173267,puesto fijo campo grande de bacoya,161,Provincial,no
50340142147133,centro de salud san jose obrero,14,Provincial,no
10067912200317,hospital municipal enrique larreta,791,Municipal,no
50700282377267,clinica modelo,28,Privado,no
50020012415342,u. 21 centro penitenciario de enfermedades infecciosas,4,Servicio Penitenciario Federal,no
10064832300426,instituto privado de clinica y cirugia lobos,483,Privado,si
10066382300069,clinica nuestra señora de fatima,638,Privado,si
50861332192259,puesto sanitario el cambiado (hosp nueva esperanza),133,Provincial,no
50820842284747,centro de salud julio maiztegui (ex san roque),84,Municipal,no
50740562380194,centro medico de la asocion de jubilados y pensionados nacionales de san luis,56,Privado,no
50100422124051,establecimiento sanitario periferico adolfo carranza,42,Provincial,no
50100212124075,establecimiento sanitario periferico choya,21,Provincial,no
53060562303190,spemm,56,Privado,no
10062742300160,sanatorio santa clara florencio varela,274,Privado,si
52180212339482,centro educativo terapeutico rincon de sueños,21,Privado,no
50661122173486,puesto sanitario vallecito,112,Provincial,no
50181122139187,colonia libertad,112,Provincial,no
10420212153045,hospital comunitario evita,21,Provincial,no
50181402239426,saps nuevo despertar,140,Municipal,no
50180212239438,saps sapucay,21,Municipal,no
51900842396757,laboratorio de analisis clinicos y bacteriologicos gonzalez,84,Privado,no
51900842396684,laboratorio de analisis clinicos medici,84,Privado,no
51900842396635,laboratorio de analisis clinicos diaz,84,Privado,no
50420352353196,centro de especialidades medicas cemec,35,Privado,no
50820562185015,centro de salud 25 de mayo - cañada de gomez,56,Provincial,no
50820842284989,centro de salud vecinal julio a. roca,84,Municipal,no
51900562396693,laboratorio de analisis clinicos nazar,56,Privado,no
50820212184557,centro de salud barrio san roque,21,Provincial,no
50820632184538,centro de salud barrio mendoza oeste,63,Provincial,no
51900842396669,laboratorio de analisis clinicos hinczuk,84,Privado,no
50820842284913,centro de salud ramon carrillo - arroyo seco,84,Municipal,no
10101122324002,clinica san javier,112,Privado,no
50860492392126,centro de urologia pedro auat y otros,49,Privado,no
10141402331303,sanatorio y clinica san justo privado s.r.l,140,Privado,si
50380212150173,caps leon (3),21,Provincial,no
50260212329074,centro catamarqueño,21,Privado,no
51260212329268,cempenta,21,Privado,no
51820842385637,laboratorio analisis clinicos dra. b. chitarroni,84,Privado,no
51820842385759,laboratorio analisis clinicos dra. p. cairol,84,Privado,no
10061122200339,hospital municipal san luis,112,Municipal,si
51820842385887,laboratorio de analisis clinicos dras. n. e. pituelli y n. abranzon,84,Privado,no
50380352150119,caps dr. fernando campero (11),35,Provincial,no
50660282173166,centro de salud nº 39 - villa lujan,28,Provincial,no
10064342300060,clinica modelo de lanus,434,Privado,si
50820212184914,samco de ramona,21,Provincial,no
50065252001429,centro medico marcos paz,525,Nacional,no
10821262184195,samco san jorge,126,Provincial,no
10780212383018,policlinico del atlantico sur,21,Privado,si
10060582300116,clinica privada general belgrano,658,Privado,si
51820842385603,laboratorio analisis clinicos dr. w. gercrcovsky,84,Privado,no
10060632200372,hospital subzonal municipal dr. felipe a. fosatti,63,Municipal,si
51860492392509,laboratorio de analisis clinicos dr. luis r. ugozzoli,49,Privado,no
10220142126032,hospital dr. alejandro fleming,14,Provincial,no
50220282326510,centro odontologico,28,Privado,no
52780142383171,gabinete de kinesiologia kinesis,14,Privado,no
51820142385842,laboratorio analisis clinicos dres. moriconi - coirini y griffa,14,Privado,no
10820142184127,samco de bigand -dr alfredo e berraz,14,Provincial,no
10221402126059,hospital geriatrico colonia baranda,140,Provincial,no
52820422385903,centro de nefrologia y dialisis  de venado tuerto,42,Privado,no
10064902300028,hospital gabriela carriquiriborde,490,Privado,si
50580422167118,puesto sanitario trailathue,42,Provincial,no
51820422385472,laboratorio analisis clinicos dr. d. guibert,42,Privado,no
50780422383104,servicio medico cerro vanguardia s.a.,42,Privado,no
10820142184179,samco los quirquinchos,14,Provincial,no
10064132300049,instituto medico de la comunidad sa,413,Privado,si
50340142347139,centro empleados de comercio,14,Privado,no
50900072196237,caps 7 de abril,7,Provincial,no
10780352183016,hospital seccional dr. reinaldo bimbi,35,Provincial,no
50900632196397,cic los chañaritos,63,Provincial,no
50500282157097,c.a.p.s. 179 eugenio l. carbonari.-,28,Provincial,no
50020012115655,fertiasist medicina reproductiva,2,Privado,no
10820492384252,sanatorio reconquista,49,Privado,si
10020012215218,hospital general de agudos dr. carlos g. durand,6,Municipal,si
52221402326631,centro de estetica mirian de ibarra,140,Privado,no
50501192157130,c.a.p.s. 197 el algarrobo.-,119,Provincial,no
50660072173117,centro de salud coronel mollinedo,7,Provincial,no
10900842396038,sanatorio del norte s.r.l.,84,Privado,si
50820422184814,centro de salud miguel torres,42,Provincial,no
50060282202312,unidad sanitaria glew i,28,Municipal,no
50380492150168,puesto lagunillas de farallon (21),49,Provincial,no
50181682339261,policonsultorio biomed,168,Privado,no
50900632396369,centro medico san cayetano,63,Privado,no
50380982150261,caps tumbaya (16),98,Provincial,no
50380282150093,puesto caspala (19),105,Provincial,no
10180492139056,hospital san roque ( moreno y antartida argentina),49,Provincial,no
51260772329291,laboratorio analisis clinicos (martinez),77,Privado,no
50066382201187,centro de salud  maria auxiliadora william morris,638,Municipal,no
10141402231175,hospital municipal carlos julio rodriguez de arroyito,140,Municipal,si
14900842596072,centro oftalmologico universitario (cou) - unt,84,Universitario público,no
50062872201923,sala jose fernandez,287,Municipal,no
51820422385493,laboratorio analisis clinicos dr. e. turner,42,Privado,no
10064272200433,policlinico central san justo,427,Municipal,si
50900702196529,posta sanitaria los rojos,70,Provincial,no
50067142201528,cic salto,714,Municipal,no
10620912170024,hospital area programa ingeniero jacobacci - dr. rogelio cortizo,91,Provincial,no
50901052196494,posta sanitaria el chasquivil (tafi viejo),105,Provincial,no
51820842385816,laboratorio analisis clinicos dres. f. buzetti - g. drappo y h. martinez,84,Privado,no
50580352167105,centro de salud parque industrial,35,Provincial,no
10421262153015,establecimiento asistencial dr. armando parodi,126,Provincial,no
51820842385522,laboratorio analisis clinicos dr. j. araudo,84,Privado,no
50260142129209,puesto sanitario colonia cushamen,14,Provincial,no
10421262153021,establecimiento asistencial dr. jose padros,126,Provincial,no
51820842385455,laboratorio analisis clinicos dr. a. vallejos,84,Privado,no
50820842384428,cedyca - centro de diagnostico y cirugia ambulatoria,84,Privado,no
10861192392011,clinica sor angela s.r.l.,119,Privado,si
50620422170162,centro de salud las angustias,42,Provincial,no
10140562331305,sanatorio privado s.r.l.,56,Privado,no
50066232202691,unidad sanitaria nuestra señora de lujan,623,Municipal,no
51821192385739,laboratorio analisis clinicos dra. m. l. hierro,119,Privado,no
51300562342561,laboratorio de analisis clinicos dr. roko,56,Privado,no
50340142347191,smata - sindicato de mecanicos y afines del transporte automotor,14,Privado,no
50420632153057,algarrobo del aguila,63,Provincial,no
50064342201382,centro de salud villa urquiza,434,Municipal,no
50900702196407,cic leon rouges (ex caps leon rouges),70,Provincial,no
50900562196516,posta sanitaria la fronterita,56,Provincial,no
50380282150264,caps uquia (19),28,Provincial,no
52020012018689,operativo unidad cinturon sur,8,FFAA/Seguridad,no
14180212139082,instituto de cardiologia juana francisca cabral,21,Provincial,si
14900842396079,instituto privado de garganta nariz y oido,84,Privado,no
50620072170150,centro de salud don zatti,7,Provincial,no
50221402126487,centro de salud villa urquiza,140,Provincial,no
50300632142170,centro de salud arroyo martinez,63,Municipal,no
50300152142433,caps clodomiro ledesma,15,Provincial,no
10221052326012,clinica regional s.r.l.,105,Privado,no
50221332126325,centro de salud legua 4 cnia gral paz,133,Provincial,no
50221682126351,centro de salud lote 24 leandro n alem,168,Provincial,no
50260772329156,centro medico moreno,77,Privado,no
50660422173411,puesto sanitario la zanja,42,Provincial,no
10300842342015,clinica modelo s.a.,84,Privado,si
50620212370094,diaverum argentina,21,Privado,no
50660142173272,puesto fijo el colte,14,Provincial,no
50067632201596,dispensario dr. lombardi,763,Municipal,no
50020012115359,cesac nº 26,14,Municipal,no
50067602202107,unidad sanitaria barrio mitre de san miguel,760,Municipal,no
50063572202839,c.a.p.s. apand,357,Municipal,no
50064082201388,centro de salud 21 de agosto,408,Municipal,no
50060072202887,sala de primeros auxilios villa goldberg,7,Municipal,no
50065152202015,unidad funcional el chelito,515,Municipal,no
50221052326579,policonsultorio axis salud,105,Privado,no
50860982192344,puesto sanitario matara (hosp suncho corral),98,Provincial,no
10340142347006,clinica dr. jorge vrsalovic,14,Privado,si
51820282385544,laboratorio analisis clinicos bioq. luis a. bianucci,28,Privado,no
50701192177143,caps la majadita,119,Provincial,no
50380942150108,puesto colonia san jose (18),94,Provincial,no
50060282201664,nº 22 loma verde,28,Municipal,no
50020012115705,imdyr - instituto de medicina del deporte y rehabilitacion,1,Privado,no
50701192177189,caps sierras de riveros,119,Provincial,no
50062742202783,unidad sanitaria san eduardo,274,Municipal,no
50065392202937,unidad sanitaria n° 32 la castellana,539,Municipal,no
50620422170115,centro de salud barrio nuevo (villa regina),42,Provincial,no
50300912142370,centro de salud santiago reynoso,91,Municipal,no
12065392200553,hospital materno infantil de pontevedra,539,Municipal,no
50020012315780,centro medico olivera,10,Privado,no
50220912126411,centro de salud paraje 42,91,Provincial,no
50660562173210,centro de salud villa saavedra,56,Provincial,no
53660282373569,optica verte,28,Privado,no
50064202202440,unidad sanitaria mar del tuyu,420,Municipal,no
50060772201905,sala de primeros auxilios viña,77,Municipal,no
50220632126403,centro de salud paraje olla quebrada,63,Provincial,no
50221402326558,policonsultorio patiño 160,140,Privado,no
50061892201791,unidad sanitaria aparicio   -( caps),189,Municipal,no
50020012315510,sipro sistema de proteccion odontologica,3,Privado,no
50065112201456,centro periferico barrio union,511,Municipal,no
50060422201241,centro de salud eva peron,42,Municipal,no
50300352142214,c.a.p.s.  domingo ventura crucet,35,Provincial,no
50067912201196,centro de salud barrio general belgrano,791,Municipal,no
50301052142471,sala de atencion primaria isidro reggiardo,105,Municipal,no
15221402326104,residencia para ancianos pierrette (geriatrico),140,Privado,no
14063572300641,clinica de fracturas y ortopedia,357,Privado,si
11060582300530,clinica del niño de quilmes sa,658,Privado,no
50065052202235,unidad sanitaria dr. jose domingo irigoyen,505,Municipal,no
50062662201815,sala de primeros auxilios diego gaynor,266,Municipal,no
13900842196068,hospital de clinicas nuestra señora del carmen,84,Provincial,no
50180212339273,policonsultorio dr. auchter,21,Privado,no
52064122303024,centro de dia quinta sans frontieres,412,Privado,no
50221402126479,centro de salud villa hortensia,140,Provincial,no
13064972000612,hospital colonia nacional dr. manuel montes de oca,497,Nacional,no
50140422231420,centro asistencial municipal la palestina,42,Municipal,no
50140142331566,inofac.instituto otorrinolaringologico y fonoaudiologico cordoba privado,14,Privado,no
50340282147105,centro de salud campo bandera,28,Provincial,no
50061892201861,unidad sanitaria marisol,189,Municipal,no
50820842385075,centro de atencion primaria la segunda art. s.a.,84,Privado,no
51820702385804,laboratorio analisis clinicos dres. aufranc,70,Privado,no
50300082142317,centro de salud nicolas tavella,8,Municipal,no
50061052202320,unidad sanitaria hale,105,Municipal,no
50060562202900,unidad sanitaria villa ressia,56,Municipal,no
53066022203168,unidad movil de carmen de patagones,602,Municipal,no
50221332126324,centro de salud legua 19 cnia gral paz,133,Provincial,no
51820702385772,laboratorio analisis clinicos dra. s. fosch,70,Privado,no
50060562201924,sala medica anchorena,56,Municipal,no
10420352153030,establecimiento asistencial dr. pablo f. lacoste,35,Provincial,no
50221402326107,asociacion de lucha contra el cancer (a.l.c.e.c.),140,Privado,no
50940072195079,puesto sanitario dr. crispino lago escondido,7,Provincial,no
50060562202895,unidad sanitaria villa mitre,56,Municipal,no
50064342202389,unidad sanitaria lanus oeste,434,Municipal,no
50220632126260,centro de salud fortin belgrano,63,Provincial,no
50220632126292,centro de salud la fidelidad,63,Provincial,no
50220702126374,centro de salud napenai,70,Provincial,no
50065392202598,unidad sanitaria n° 31 de merlo,539,Municipal,no
50740562780223,consultorios externos del sindicato de choferes de camiones,56,Obra social,no
14067632300646,clinica privada de garganta nariz y oidos,763,Privado,no
50620422170160,centro de salud la rivera,42,Provincial,no
50661612173442,puesto sanitario poscaya,161,Provincial,no
50066092202275,unidad sanitaria elena roger,609,Municipal,no
50064412201560,consultorio externo evita,441,Municipal,no
50064342201378,centro de salud villa mauricio,434,Municipal,no
50063572201587,centro de salud nº 2 dr. oñativia,357,Municipal,no
50060352202471,unidad sanitaria n° 10 de avellaneda,35,Municipal,no
50861682192288,puesto sanitario guerra (hosp salavina),168,Provincial,no
50062742202871,unidad sanitaria villa aurora,274,Municipal,no
50220842126359,centro de salud lote 4 numero 2,84,Provincial,no
50060212202042,unidad sanitaria achupallas,21,Municipal,no
50063712301683,policlinica cunder,371,Privado,no
50063572202173,c.a.p.s. estacion chapadmalal,357,Municipal,no
51820842385647,laboratorio analisis clinicos dr.a. carlomagno,84,Privado,no
50065322202795,unidad sanitaria san jose de mercedes,532,Municipal,no
50064412202606,unidad sanitaria n° 35 de la plata,441,Municipal,no
10141472231218,hospital municipal nuestra señora de las nievas de malagueño,147,Municipal,no
10140422231242,hospital para la comunidad dr. luis agote,42,Municipal,no
10140982331279,policlinico privado san lucas,98,Privado,si
50060582201500,centro radioenlace para emergencias medicas,658,Municipal,no
13068612300577,clinica privada de salud mental sai,861,Privado,no
50067492301982,sistemas de salud arcangel,749,Privado,no
13141612131358,hospital colonia dr. emilio vidal abal,161,Provincial,no
52064122303106,diaverum argentina sede duhau (2108),412,Privado,no
50140912231537,dispensario municipal dr. benito soria huerta grande,91,Municipal,no
53066512303156,servicio de ambulancias para el traslado de pacientes sin riesgo de vida,651,Privado,no
50060352301743,policonsultorios uta avellaneda,35,Privado,no
50100702124234,establecimiento sanitario periferico las esquinas,70,Provincial,no
50180212139110,caps nº xii barrio ponce,21,Provincial,no
51100492324332,laboratorio bioquimico srl,49,Privado,no
50020012115369,cesac nº 36,10,Municipal,no
53062742303119,cuidados sileno srl (id),274,Privado,no
50020012115387,cmb nº 10,4,Municipal,no
52063712303049,centro de estimulacion temprana la ventana,371,Privado,no
50221682126344,centro de salud lote 11 pampa bandera,168,Provincial,no
50221542126434,centro de salud salto de la vieja,154,Provincial,no
10066092300465,sanatorio pehuajo sa,609,Privado,no
13060282300563,clinica centro medico neuropsiquiatrico (m),28,Privado,no
14060282100662,hospital subzonal especializado en rehabilitacion dr. jorge,28,Provincial,no
50064412202602,unidad sanitaria n° 33 de la granja,441,Municipal,no
52020012315570,centro medico de rehabilitacion cari,5,Privado,no
50068612301410,centro medico cereden,861,Privado,no
15065152300907,hogar geriatrico nuestra señora de guadalupe,515,Privado,no
50064272202885,unidad de salud villa giardino,427,Municipal,no
15064902300698,hogar geriatrico belgrano,490,Privado,no
