año_censo,provincia_id,cobertura,grupo_etario,sexo,cantidad
2010,2,Privada,0-14,F,86113.0
2010,2,Privada,15-34,F,171363.0
2010,2,Privada,35-54,F,159700.0
2010,2,Privada,55-74,F,183383.0
2010,2,Privada,75+,F,122230.0
2010,2,Privada,0-14,F,55432.0
2010,2,Privada,15-34,F,110787.0
2010,2,Privada,35-54,F,100515.0
2010,2,Privada,55-74,F,49225.0
2010,2,Privada,75+,F,15118.0
2010,2,Privada,0-14,F,30388.0
2010,2,Privada,15-34,F,60852.0
2010,2,Privada,35-54,F,59157.0
2010,2,Privada,55-74,F,55993.0
2010,2,Privada,75+,F,22342.0
2010,2,Pública,0-14,F,4823.0
2010,2,Pública,15-34,F,7082.0
2010,2,Pública,35-54,F,6599.0
2010,2,Pública,55-74,F,3672.0
2010,2,Pública,75+,F,1464.0
2010,2,No tiene cobertura social,0-14,F,55023.0
2010,2,No tiene cobertura social,15-34,F,106316.0
2010,2,No tiene cobertura social,35-54,F,66679.0
2010,2,No tiene cobertura social,55-74,F,24659.0
2010,2,No tiene cobertura social,75+,F,2727.0
2010,6,Privada,0-14,F,777899.0
2010,6,Privada,15-34,F,993836.0
2010,6,Privada,35-54,F,866403.0
2010,6,Privada,55-74,F,905769.0
2010,6,Privada,75+,F,425838.0
2010,6,Privada,0-14,F,211562.0
2010,6,Privada,15-34,F,283505.0
2010,6,Privada,35-54,F,242923.0
2010,6,Privada,55-74,F,85065.0
2010,6,Privada,75+,F,14313.0
2010,6,Privada,0-14,F,72342.0
2010,6,Privada,15-34,F,111413.0
2010,6,Privada,35-54,F,113802.0
2010,6,Privada,55-74,F,66332.0
2010,6,Privada,75+,F,12694.0
2010,6,Pública,0-14,F,31889.0
2010,6,Pública,15-34,F,32130.0
2010,6,Pública,35-54,F,29242.0
2010,6,Pública,55-74,F,14522.0
2010,6,Pública,75+,F,3442.0
2010,6,No tiene cobertura social,0-14,F,810585.0
2010,6,No tiene cobertura social,15-34,F,1079869.0
2010,6,No tiene cobertura social,35-54,F,628219.0
2010,6,No tiene cobertura social,55-74,F,191422.0
2010,6,No tiene cobertura social,75+,F,12443.0
2010,10,Privada,0-14,F,24539.0
2010,10,Privada,15-34,F,25676.0
2010,10,Privada,35-54,F,23098.0
2010,10,Privada,55-74,F,17883.0
2010,10,Privada,75+,F,6781.0
2010,10,Privada,0-14,F,2990.0
2010,10,Privada,15-34,F,3287.0
2010,10,Privada,35-54,F,2457.0
2010,10,Privada,55-74,F,941.0
2010,10,Privada,75+,F,250.0
2010,10,Privada,0-14,F,854.0
2010,10,Privada,15-34,F,1410.0
2010,10,Privada,35-54,F,911.0
2010,10,Privada,55-74,F,340.0
2010,10,Privada,75+,F,51.0
2010,10,Pública,0-14,F,1311.0
2010,10,Pública,15-34,F,881.0
2010,10,Pública,35-54,F,889.0
2010,10,Pública,55-74,F,601.0
2010,10,Pública,75+,F,126.0
2010,10,No tiene cobertura social,0-14,F,23828.0
2010,10,No tiene cobertura social,15-34,F,29721.0
2010,10,No tiene cobertura social,35-54,F,12600.0
